idx,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
46,0.010643343465303809,-0.17466473141516167,-0.4751636697613083,0.05912956182559441,-0.2035990490388061
47,-0.05372766296108108,-0.17030435104704972,-0.4654189060602184,0.09082479936112502,-0.14398612731108817
48,-0.0566494819846104,-0.2224804357891988,-0.476590196374516,0.4152611586463086,-0.15273879011778732
49,-0.016407071956789754,-0.16272527156809705,-0.4741987161320185,0.05538404225140112,-0.189408434753982
50,-0.4815342858897832,-0.17494757568181352,-0.3452288874002576,-0.01594418464431448,0.39767904544065796
51,0.028048971678046042,-0.08552000051055894,-0.4694991709739291,-0.41180009187270517,-0.22834449172274598
52,-0.012818549214809336,-0.1628032618266882,-0.4753300880709815,0.057041432437183334,-0.1941849831158495
53,-0.32313961608023,-0.8015108013753175,1.0400693921996267,0.2716915215665238,0.19116878451427471
54,-0.3850209180777518,-0.18527901990950704,-0.33429014620729447,-0.2785824113605769,0.3674072098962212
55,0.10577707750610281,-0.12869587297596305,-0.4655289192526969,-0.47398109035009733,-0.25271665611764516
56,0.1065478299773401,-0.13277380874959924,-0.46395746522848375,-0.47472140536182267,-0.24961900208856286
57,0.12922325295283602,-0.16149448559089163,-0.45537436837877765,-0.4831682642232826,-0.2363940972877542
58,-0.3916591612601348,-0.19636615935639096,-0.33355389976631994,-0.2307682740078921,0.3764552727449216
59,-0.40801955069332435,-0.17405772644354692,-0.34082231296489934,-0.22405220121801206,0.36407383576868124
60,0.08898451108598628,-0.10937058072764,-0.4705669490143163,-0.4684875045751966,-0.2590304523227926
61,-0.11535359705087439,-0.21800515930150796,-0.4326829354304846,0.14244195375217747,-0.015182235619405956
62,0.022934464324652116,-0.1892823802543349,-0.4711555970779586,0.054923352576056524,-0.1981315499564394
63,-0.4007074889573862,-0.16605649232280262,-0.3397897372631749,-0.2729921519706127,0.35941486659747524
64,0.03377062749487162,-0.04506988461410103,-0.4876467780332739,-0.4501271100879832,-0.28114920054942455
65,-0.04893742946113207,-0.22952348655617325,-0.483459029040816,0.4697866093702889,-0.17026285422406515
66,-0.05411296192913246,-0.229510789715751,-0.4815210938410933,0.4679071316254754,-0.1626969048653743
67,-0.08151563621551336,-0.5659095983641061,0.7809299662859077,0.05908572863300399,-0.33210614995956084
68,-0.2953194984817989,-0.8040923924220899,1.0316648920040785,0.2868416431593124,0.1532751728065955
69,-0.292144521970537,-0.8041873969727374,1.0307436959643894,0.2884411613160698,0.14922549224477077
